[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:48:05] level_map.py:96 INFO    : Generating a new corridor: room_id=1, next_id=0, initial_side=L
[2026-03-06 15:48:05] corridor.py:108 INFO    : Generating horizontal corridor
[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:48:05] level_map.py:137 WARNING : Random doors generation: adding new group
[2026-03-06 15:48:05] level_map.py:96 INFO    : Generating a new corridor: room_id=4, next_id=1, initial_side=U
[2026-03-06 15:48:05] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:48:05] level_map.py:96 INFO    : Generating a new corridor: room_id=4, next_id=5, initial_side=R
[2026-03-06 15:48:05] corridor.py:108 INFO    : Generating horizontal corridor
[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:48:05] level_map.py:96 INFO    : Generating a new corridor: room_id=4, next_id=7, initial_side=D
[2026-03-06 15:48:05] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:48:05] level_map.py:111 INFO    : Corridor groups are united
[2026-03-06 15:48:05] room.py:129 INFO    : Character is placed to room id=5
[2026-03-06 15:48:05] room.py:135 INFO    : Exit is placed to room id=7
[2026-03-06 15:48:05] room.py:146 INFO    : Generating enemy in room id=0
[2026-03-06 15:48:05] room.py:146 INFO    : Generating enemy in room id=1
[2026-03-06 15:48:05] room.py:146 INFO    : Generating enemy in room id=4
[2026-03-06 15:48:05] room.py:146 INFO    : Generating enemy in room id=7
[2026-03-06 15:48:05] room.py:146 INFO    : Generating enemy in room id=8
[2026-03-06 15:48:05] room.py:146 INFO    : Generating enemy in room id=8
[2026-03-06 15:48:05] room.py:162 INFO    : Generating item in room id=0
[2026-03-06 15:48:05] room.py:165 INFO    : Generating enemy in room id=3
[2026-03-06 15:48:05] room.py:162 INFO    : Generating item in room id=8
[2026-03-06 15:48:05] level_map.py:46 INFO    : LevelMap initialized
[2026-03-06 15:48:10] level_map.py:189 INFO    : Moving character: w
[2026-03-06 15:48:10] level_map.py:197 INFO    : Moving character in Room
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:10] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:10] level_map.py:197 INFO    : Moving character in Room
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:10] level_map.py:189 INFO    : Moving character: d
[2026-03-06 15:48:10] level_map.py:197 INFO    : Moving character in Room
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:10] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:10] level_map.py:197 INFO    : Moving character in Room
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:10] level_map.py:189 INFO    : Moving character: w
[2026-03-06 15:48:10] level_map.py:197 INFO    : Moving character in Room
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:10] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:11] level_map.py:189 INFO    : Moving character: d
[2026-03-06 15:48:11] level_map.py:197 INFO    : Moving character in Room
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Mimic makes a pattern move
