('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         756817 function calls (732534 primitive calls) in 7.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5542    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2709    0.001    0.000    0.002    0.000 element.py:1812(is_empty_element)
     3429    0.001    0.000    0.004    0.000 filter.py:717(match)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      216    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      261    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      166    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     1437    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     4251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      901    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     2726    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       51    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
     1759    0.001    0.000    0.003    0.000 filter.py:538(matches_tag)
      380    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     8504    0.001    0.000    0.001    0.000 typing.py:2154(cast)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      190    0.001    0.000    0.008    0.000 _compiler.py:511(_compile_info)
      294    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    52/14    0.001    0.000    0.015    0.001 css_parser.py:911(parse_selectors)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      294    0.001    0.000    1.317    0.004 ssl.py:1237(recv_into)
     2710    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      942    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     3764    0.001    0.000    0.005    0.000 {built-in method builtins.next}
    168/1    0.001    0.000    7.220    7.220 {built-in method builtins.exec}
      190    0.001    0.000    0.124    0.001 _compiler.py:740(compile)
    218/4    0.001    0.000    0.276    0.069 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      166    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      310    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
       38    0.001    0.000    0.007    0.000 response.py:469(_decode)
     3454    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     2818    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
     3817    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      853    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
    193/4    0.001    0.000    0.275    0.069 <frozen importlib._bootstrap>:911(_load_unlocked)
       39    0.001    0.000    0.006    0.000 response.py:122(decompress)
       21    0.001    0.000    0.630    0.030 __init__.py:1(<module>)
    166/4    0.001    0.000    0.275    0.069 <frozen importlib._bootstrap_external>:989(exec_module)
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     2710    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
