('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         770088 function calls (745963 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1746    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
      306    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
       43    0.001    0.000    0.007    0.000 filter.py:129(filter)
     2603    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
      501    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      418    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     7414    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4254    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3429    0.001    0.000    0.004    0.000 filter.py:717(match)
    265/6    0.001    0.000    0.270    0.045 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     7624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5151    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     5542    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
        1    0.001    0.001    0.001    0.001 _writers.py:36(write_request)
     2709    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
      272    0.001    0.000    0.006    0.000 typing.py:1242(__init__)
     3779    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
       50    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     5675    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     2726    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
      306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1611    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
  524/523    0.001    0.000    0.002    0.000 _readers.py:157(__call__)
     1014    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      544    0.001    0.000    0.029    0.000 _connection.py:426(next_event)
      693    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     2857    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      292    0.001    0.000    1.117    0.004 sync.py:124(read)
      242    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      390    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
       29    0.001    0.000    0.598    0.021 __init__.py:1(<module>)
     1759    0.001    0.000    0.003    0.000 filter.py:538(matches_tag)
      195    0.001    0.000    0.008    0.000 _compiler.py:511(_compile_info)
      255    0.001    0.000    0.002    0.000 _connection.py:260(_process_event)
     2710    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      195    0.001    0.000    0.116    0.001 _compiler.py:740(compile)
     1970    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:911(parse_selectors)
     8762    0.001    0.000    0.001    0.000 typing.py:2154(cast)
       24    0.001    0.000    0.013    0.001 dataclasses.py:921(_process_class)
        5    0.001    0.000    0.276    0.055 {method 'join' of 'bytes' objects}
      123    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     2710    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
       13    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      752    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     1032    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
    236/6    0.001    0.000    0.269    0.045 <frozen importlib._bootstrap>:911(_load_unlocked)
 1281/915    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      544    0.001    0.000    0.026    0.000 _connection.py:398(_extract_next_receive_event)
       13    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
      236    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1443    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
       95    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
      848    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
     3454    0.001    0.000    0.001    0.000 element.py:2763(descendants)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      712    0.001    0.000    0.001    0.000 _compiler.py:398(_simple)
     2812    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      209    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      195    0.001    0.000    0.069    0.000 _parser.py:969(parse)
     2408    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      856    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      847    0.001    0.000    0.001    0.000 contextlib.py:141(__exit__)
      767    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
     3230    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
   529/12    0.001    0.000    0.268    0.022 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2690    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       77    0.001    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
      540    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
       28    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      418    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      218    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2678    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      235    0.000    0.000    0.002    0.000 typing_extensions.py:3029(_collect_parameters)
      209    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1773    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      235    0.000    0.000    0.001    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
       99    0.000    0.000    0.005    0.000 typing.py:687(Union)
      848    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
      111    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7eac50612200}
      300    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
