('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         756622 function calls (732373 primitive calls) in 1.889 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     1042    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      973    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      942    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      928    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      901    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      901    0.006    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
      864    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      861    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      853    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
      804    0.002    0.000    0.002    0.000 _parser.py:372(_escape)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
  734/677    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      732    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      732    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      592    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      556    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
  542/537    0.007    0.000    0.057    0.000 {built-in method builtins.__build_class__}
      526    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      522    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      516    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      504    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      497    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      497    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      492    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
    444/8    0.000    0.000    0.265    0.033 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      424    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      417    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      405    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      404    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      387    0.000    0.000    0.000    0.000 element.py:2160(get)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      380    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      347    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      346    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      332    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      323    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      318    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      318    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      310    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      304    0.002    0.000    0.124    0.000 __init__.py:280(_compile)
      302    0.000    0.000    0.124    0.000 __init__.py:226(compile)
      300    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      300    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
      299    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      297    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      296    0.000    0.000    0.000    0.000 socket.py:732(readable)
      295    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      295    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      295    0.000    0.000    1.181    0.004 ssl.py:1095(read)
      295    1.181    0.004    1.181    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      295    0.000    0.000    1.183    0.004 socket.py:693(readinto)
      295    0.001    0.000    1.182    0.004 ssl.py:1237(recv_into)
      291    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      261    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      261    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      261    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      248    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      224    0.003    0.000    0.335    0.001 {method 'read' of '_io.BufferedReader' objects}
      219    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    219/4    0.001    0.000    0.266    0.066 <frozen importlib._bootstrap>:1349(_find_and_load)
    218/4    0.001    0.000    0.266    0.066 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
